Ano;Município;populacao
2017;Abadia de Goiás (GO);8207
2017;Abadia dos Dourados (MG);7059
2017;Abadiânia (GO);18775
2017;Abaeté (MG);23611
2017;Abaetetuba (PA);153380
2017;Abaiara (CE);11605
2017;Abaíra (BA);9199
2017;Abaré (BA);20189
2017;Abatiá (PR);7768
2017;Abdon Batista (SC);2604
2017;Abel Figueiredo (PA);7231
2017;Abelardo Luz (SC);17847
2017;Abre Campo (MG);13733
2017;Abreu e Lima (PE);99364
2017;Abreulândia (TO);2571
2017;Acaiaca (MG);4065
2017;Açailândia (MA);111339
2017;Acajutiba (BA);15727
2017;Acará (PA);54096
2017;Acarape (CE);16543
2017;Acaraú (CE);62199
2017;Acari (RN);11333
2017;Acauã (PI);6966
2017;Aceguá (RS);4759
2017;Acopiara (CE);53572
2017;Acorizal (MT);5269
2017;Acrelândia (AC);14366
2017;Acreúna (GO);22076
2017;Açu (RN);58183
2017;Açucena (MG);9997
2017;Adamantina (SP);35139
2017;Adelândia (GO);2564
2017;Adolfo (SP);3609
2017;Adrianópolis (PR);6254
2017;Adustina (BA);17349
2017;Afogados da Ingazeira (PE);37017
2017;Afonso Bezerra (RN);11211
2017;Afonso Cláudio (ES);32361
2017;Afonso Cunha (MA);6486
2017;Afrânio (PE);19411
2017;Afuá (PA);38144
2017;Agrestina (PE);24644
2017;Agricolândia (PI);5062
2017;Agrolândia (SC);10581
2017;Agronômica (SC);5437
2017;Água Azul do Norte (PA);26682
2017;Água Boa (MG);14370
2017;Água Boa (MT);24501
2017;Água Branca (AL);20467
2017;Água Branca (PB);10258
2017;Água Branca (PI);17119
2017;Água Clara (MS);14992
2017;Água Comprida (MG);2058
2017;Água Doce (SC);7154
2017;Água Doce do Maranhão (MA);12457
2017;Água Doce do Norte (ES);11893
2017;Água Fria (BA);17508
2017;Água Fria de Goiás (GO);5613
2017;Água Limpa (GO);1967
2017;Água Nova (RN);3260
2017;Água Preta (PE);36371
2017;Água Santa (RS);3841
2017;Aguaí (SP);35508
2017;Aguanil (MG);4440
2017;Águas Belas (PE);43087
2017;Águas da Prata (SP);8104
2017;Águas de Chapecó (SC);6445
2017;Águas de Lindóia (SP);18509
2017;Águas de Santa Bárbara (SP);6009
2017;Águas de São Pedro (SP);3268
2017;Águas Formosas (MG);19416
2017;Águas Frias (SC);2387
2017;Águas Lindas de Goiás (GO);195810
2017;Águas Mornas (SC);6298
2017;Águas Vermelhas (MG);13576
2017;Agudo (RS);17085
2017;Agudos (SP);36880
2017;Agudos do Sul (PR);9161
2017;Águia Branca (ES);10085
2017;Aguiar (PB);5562
2017;Aguiarnópolis (TO);6460
2017;Aimorés (MG);25711
2017;Aiquara (BA);4725
2017;Aiuaba (CE);17194
2017;Aiuruoca (MG);6209
2017;Ajuricaba (RS);7358
2017;Alagoa (MG);2752
2017;Alagoa Grande (PB);28565
2017;Alagoa Nova (PB);20689
2017;Alagoinha (PB);14464
2017;Alagoinha (PE);14517
2017;Alagoinha do Piauí (PI);7526
2017;Alagoinhas (BA);155979
2017;Alambari (SP);5754
2017;Albertina (MG);3046
2017;Alcântara (MA);21673
2017;Alcântaras (CE);11459
2017;Alcantil (PB);5499
2017;Alcinópolis (MS);5188
2017;Alcobaça (BA);23376
2017;Aldeias Altas (MA);26387
2017;Alecrim (RS);6736
2017;Alegre (ES);32146
2017;Alegrete (RS);78003
2017;Alegrete do Piauí (PI);4838
2017;Alegria (RS);4037
2017;Além Paraíba (MG);35866
2017;Alenquer (PA);55246
2017;Alexandria (RN);13827
2017;Alexânia (GO);26770
2017;Alfenas (MG);79707
2017;Alfredo Chaves (ES);15082
2017;Alfredo Marcondes (SP);4135
2017;Alfredo Vasconcelos (MG);6775
2017;Alfredo Wagner (SC);9960
2017;Algodão de Jandaíra (PB);2501
2017;Alhandra (PB);19579
2017;Aliança (PE);38267
2017;Aliança do Tocantins (TO);5527
2017;Almadina (BA);5985
2017;Almas (TO);7273
2017;Almeirim (PA);33195
2017;Almenara (MG);41794
2017;Almino Afonso (RN);4854
2017;Almirante Tamandaré (PR);115364
2017;Almirante Tamandaré do Sul (RS);2079
2017;Aloândia (GO);2071
2017;Alpercata (MG);7515
2017;Alpestre (RS);7433
2017;Alpinópolis (MG);19846
2017;Alta Floresta (MT);50189
2017;Alta Floresta D'Oeste (RO);25437
2017;Altair (SP);4109
2017;Altamira (PA);111435
2017;Altamira do Maranhão (MA);8070
2017;Altamira do Paraná (PR);2948
2017;Altaneira (CE);7479
2017;Alterosa (MG);14551
2017;Altinho (PE);22896
2017;Altinópolis (SP);16219
2017;Alto Alegre (RR);15933
2017;Alto Alegre (RS);1803
2017;Alto Alegre (SP);4154
2017;Alto Alegre do Maranhão (MA);26872
2017;Alto Alegre do Pindaré (MA);31312
2017;Alto Alegre dos Parecis (RO);14045
2017;Alto Araguaia (MT);18164
2017;Alto Bela Vista (SC);1967
2017;Alto Boa Vista (MT);6466
2017;Alto Caparaó (MG);5791
2017;Alto do Rodrigues (RN);14365
2017;Alto Feliz (RS);3040
2017;Alto Garças (MT);11532
2017;Alto Horizonte (GO);5784
2017;Alto Jequitibá (MG);8522
2017;Alto Longá (PI);14070
2017;Alto Paraguai (MT);10921
2017;Alto Paraíso (PR);2998
2017;Alto Paraíso (RO);20916
2017;Alto Paraíso de Goiás (GO);7514
2017;Alto Paraná (PR);14693
2017;Alto Parnaíba (MA);11001
2017;Alto Piquiri (PR);10222
2017;Alto Rio Doce (MG);11693
2017;Alto Rio Novo (ES);8022
2017;Alto Santo (CE);16976
2017;Alto Taquari (MT);10246
2017;Altônia (PR);21988
2017;Altos (PI);39864
2017;Alumínio (SP);18324
2017;Alvarães (AM);15908
2017;Alvarenga (MG);4199
2017;Álvares Florence (SP);3795
2017;Álvares Machado (SP);24813
2017;Álvaro de Carvalho (SP);5119
2017;Alvinlândia (SP);3196
2017;Alvinópolis (MG);15599
2017;Alvorada (RS);208177
2017;Alvorada (TO);8516
2017;Alvorada de Minas (MG);3673
2017;Alvorada do Gurguéia (PI);5326
2017;Alvorada do Norte (GO);8645
2017;Alvorada do Sul (PR);11237
2017;Alvorada D'Oeste (RO);16747
2017;Amajari (RR);11560
2017;Amambai (MS);38465
2017;Amapá (AP);8757
2017;Amapá do Maranhão (MA);6895
2017;Amaporã (PR);6084
